	Group A:	'013				Group B:	'004				Group C:	 Not Running
	21.58	0.16	-0.14	0.02	-0.05	21.77	2835	20.8	34.2	-3.4		
	21.94	0.16	-0.14	0.02	-0.05	22.11	2772	21.1	35.2	-3.4		
	22.28	0.16	-0.14	0.02	-0.05	22.44	2814	21.1	28.1	-3.4		
	22.61	0.16	-0.14	0.02	-0.05	22.8	2751	20.5	28.6	-3.4		
	22.97	0.16	-0.14	0.02	-0.05	23.14	2793	21.1	27.5	-3.4		
	23.33	0.16	-0.14	0.02	-0.05	23.5	2751	20.5	34.7	-3.4		
	23.66	0.16	-0.14	0.02	-0.05	23.85	2898	21.7	34.7	-3.4		
	24.01	0.16	-0.14	0.02	-0.05	24.17	3024	22.6	37.2	-3.4		
	24.36	0.16	-0.14	0.02	-0.05	24.53	3171	23.9	38.3	-3.4		
	24.7	0.16	-0.14	0.02	-0.05	24.88	3297	24.8	38.8	-2.9		
	25.05	0.16	-0.14	0.02	-0.05	25.22	3423	25.4	39.3	-2.9		
	25.41	0.16	-0.14	0.02	-0.05	25.57	3528	26	39.8	-2.9		
	25.73	0.16	-0.14	0.02	-0.05	25.89	3633	26.7	36.2	-2.9		
	26.08	0.16	-0.14	0.02	-0.05	26.25	3696	23.3	22.4	-2.9		
	26.42	0.16	-0.14	0.02	-0.05	26.61	3549	14	-2.6	-2.9		
	26.78	0.16	-0.14	0.02	-0.05	26.95	2814	7.4	-2.6	-2.9		
	27.14	0.16	-0.14	0.02	-0.05	27.31	2184	4	0	-2.9		
	27.48	0.16	-0.14	0.02	-0.05	27.65	1659	0	-0.5	-2.9		
	27.81	0.16	-0.14	0.02	-0.05	27.98	1239	-0.3	0	-2.9		
	28.15	0.16	-0.14	0.02	-0.05	28.31	945	-1.9	8.2	-2.9		
	28.48	0.16	-0.14	0.02	-0.05	28.66	882	-1.9	8.2	-2.9		
	28.83	0.14	-0.14	0.05	0	29	840	-1.9	8.2	-2.9		
	29.17	0.14	-0.19	0.07	0	29.33	777	-1.9	8.7	-2.9		
	29.5	0.14	-0.21	0.07	0	29.69	777	-1.9	8.7	-2.9		
	29.86	0.12	-0.24	0.09	0	30.03	798	-1.9	8.7	-2.9		
	30.21	0.14	-0.28	0.12	0	30.37	777	-1.9	8.7	-2.9		
